datetime,direct.bid1,direct.ask1
2017-04-13 09:30:00,141.81,141.92
2017-04-13 09:30:01,141.85,141.93
2017-04-13 09:30:02,141.75,141.8
2017-04-13 09:30:03,141.8,141.84
2017-04-13 09:30:04,141.8,141.88
2017-04-13 09:30:05,141.76,141.8
2017-04-13 09:30:06,141.74,141.77
2017-04-13 09:30:07,141.71,141.74
2017-04-13 09:30:08,141.7,141.74
2017-04-13 09:30:09,141.7,141.74
2017-04-13 09:30:10,141.68,141.71
2017-04-13 09:30:11,141.65,141.7
2017-04-13 09:30:12,141.64,141.68
2017-04-13 09:30:13,141.63,141.68
2017-04-13 09:30:14,141.63,141.68
2017-04-13 09:30:15,141.63,141.68
2017-04-13 09:30:16,141.63,141.67
2017-04-13 09:30:17,141.64,141.67
2017-04-13 09:30:18,141.67,141.71
2017-04-13 09:30:19,141.67,141.71
2017-04-13 09:30:20,141.7,141.77
2017-04-13 09:30:21,141.76,141.77
2017-04-13 09:30:22,141.77,141.82
2017-04-13 09:30:23,141.77,141.83
2017-04-13 09:30:24,141.77,141.82
2017-04-13 09:30:25,141.76,141.83
2017-04-13 09:30:26,141.81,141.87
2017-04-13 09:30:27,141.83,141.9
2017-04-13 09:30:28,141.83,141.9
2017-04-13 09:30:29,141.83,141.9
2017-04-13 09:30:30,141.76,141.84
2017-04-13 09:30:31,141.78,141.82
2017-04-13 09:30:32,141.82,141.87
2017-04-13 09:30:33,141.82,141.9
2017-04-13 09:30:34,141.82,141.88
2017-04-13 09:30:35,141.82,141.88
2017-04-13 09:30:36,141.82,141.9
2017-04-13 09:30:37,141.76,141.84
2017-04-13 09:30:38,141.77,141.84
2017-04-13 09:30:39,141.76,141.84
2017-04-13 09:30:40,141.76,141.8
2017-04-13 09:30:41,141.76,141.8
2017-04-13 09:30:42,141.76,141.8
2017-04-13 09:30:43,141.76,141.82
2017-04-13 09:30:44,141.76,141.82
2017-04-13 09:30:45,141.77,141.8
2017-04-13 09:30:46,141.76,141.8
2017-04-13 09:30:47,141.76,141.83
2017-04-13 09:30:48,141.76,141.83
2017-04-13 09:30:49,141.76,141.83
2017-04-13 09:30:50,141.77,141.83
2017-04-13 09:30:51,141.8,141.86
2017-04-13 09:30:52,141.87,141.9
2017-04-13 09:30:53,141.83,141.9
2017-04-13 09:30:54,141.83,141.9
2017-04-13 09:30:55,141.84,141.88
2017-04-13 09:30:56,141.84,141.88
2017-04-13 09:30:57,141.85,141.89
2017-04-13 09:30:58,141.86,141.89
2017-04-13 09:30:59,141.86,141.89
2017-04-13 09:31:00,141.85,141.89
2017-04-13 09:31:01,141.81,141.86
2017-04-13 09:31:02,141.8,141.84
2017-04-13 09:31:03,141.78,141.84
2017-04-13 09:31:04,141.73,141.79
2017-04-13 09:31:05,141.73,141.79
2017-04-13 09:31:06,141.73,141.79
2017-04-13 09:31:07,141.73,141.79
2017-04-13 09:31:08,141.73,141.79
2017-04-13 09:31:09,141.73,141.79
2017-04-13 09:31:10,141.8,141.87
2017-04-13 09:31:11,141.8,141.86
2017-04-13 09:31:12,141.8,141.86
2017-04-13 09:31:13,141.8,141.86
2017-04-13 09:31:14,141.79,141.83
2017-04-13 09:31:15,141.79,141.81
2017-04-13 09:31:16,141.79,141.83
2017-04-13 09:31:17,141.79,141.83
2017-04-13 09:31:18,141.79,141.83
2017-04-13 09:31:19,141.79,141.83
2017-04-13 09:31:20,141.81,141.87
2017-04-13 09:31:21,141.81,141.87
2017-04-13 09:31:22,141.81,141.86
2017-04-13 09:31:23,141.81,141.86
2017-04-13 09:31:24,141.81,141.86
2017-04-13 09:31:25,141.82,141.86
2017-04-13 09:31:26,141.84,141.87
2017-04-13 09:31:27,141.85,141.87
2017-04-13 09:31:28,141.87,141.9
2017-04-13 09:31:29,141.88,141.9
2017-04-13 09:31:30,141.88,141.9
2017-04-13 09:31:31,141.91,141.92
2017-04-13 09:31:32,141.92,141.94
2017-04-13 09:31:33,141.92,141.94
2017-04-13 09:31:34,141.91,141.94
2017-04-13 09:31:35,141.91,141.94
2017-04-13 09:31:36,141.91,141.94
2017-04-13 09:31:37,141.9,141.94
2017-04-13 09:31:38,141.9,141.92
2017-04-13 09:31:39,141.89,141.93
2017-04-13 09:31:40,141.89,141.94
2017-04-13 09:31:41,141.87,141.92
2017-04-13 09:31:42,141.89,141.94
2017-04-13 09:31:43,141.87,141.91
2017-04-13 09:31:44,141.88,141.92
2017-04-13 09:31:45,141.89,141.94
2017-04-13 09:31:46,141.89,141.94
2017-04-13 09:31:47,141.89,141.94
2017-04-13 09:31:48,141.89,141.93
2017-04-13 09:31:49,141.89,141.93
2017-04-13 09:31:50,141.89,141.93
2017-04-13 09:31:51,141.89,141.91
2017-04-13 09:31:52,141.89,141.91
2017-04-13 09:31:53,141.97,141.99
2017-04-13 09:31:54,141.94,141.99
2017-04-13 09:31:55,141.94,141.98
2017-04-13 09:31:56,141.93,141.97
2017-04-13 09:31:57,141.92,141.97
2017-04-13 09:31:58,141.93,141.96
2017-04-13 09:31:59,141.93,141.96
2017-04-13 09:32:00,141.94,141.97
2017-04-13 09:32:01,141.89,141.96
2017-04-13 09:32:02,141.9,141.95
2017-04-13 09:32:03,141.9,141.95
2017-04-13 09:32:04,141.91,141.94
2017-04-13 09:32:05,141.91,141.94
2017-04-13 09:32:06,141.91,141.93
2017-04-13 09:32:07,141.9,141.92
2017-04-13 09:32:08,141.88,141.9
2017-04-13 09:32:09,141.92,141.93
2017-04-13 09:32:10,141.92,141.93
2017-04-13 09:32:11,141.89,141.91
2017-04-13 09:32:12,141.83,141.85
2017-04-13 09:32:13,141.84,141.87
2017-04-13 09:32:14,141.83,141.85
2017-04-13 09:32:15,141.86,141.88
2017-04-13 09:32:16,141.86,141.87
2017-04-13 09:32:17,141.83,141.85
2017-04-13 09:32:18,141.83,141.85
2017-04-13 09:32:19,141.8,141.83
2017-04-13 09:32:20,141.78,141.8
2017-04-13 09:32:21,141.75,141.78
2017-04-13 09:32:22,141.75,141.78
2017-04-13 09:32:23,141.75,141.78
2017-04-13 09:32:24,141.75,141.78
2017-04-13 09:32:25,141.75,141.78
2017-04-13 09:32:26,141.79,141.8
2017-04-13 09:32:27,141.78,141.79
2017-04-13 09:32:28,141.78,141.8
2017-04-13 09:32:29,141.79,141.8
2017-04-13 09:32:30,141.78,141.8
2017-04-13 09:32:31,141.79,141.8
2017-04-13 09:32:32,141.8,141.81
2017-04-13 09:32:33,141.8,141.83
2017-04-13 09:32:34,141.81,141.82
2017-04-13 09:32:35,141.78,141.79
2017-04-13 09:32:36,141.77,141.78
2017-04-13 09:32:37,141.78,141.79
2017-04-13 09:32:38,141.78,141.79
2017-04-13 09:32:39,141.79,141.8
2017-04-13 09:32:40,141.79,141.8
2017-04-13 09:32:41,141.79,141.8
2017-04-13 09:32:42,141.78,141.8
2017-04-13 09:32:43,141.78,141.79
2017-04-13 09:32:44,141.79,141.8
2017-04-13 09:32:45,141.77,141.78
2017-04-13 09:32:46,141.76,141.78
2017-04-13 09:32:47,141.76,141.78
2017-04-13 09:32:48,141.76,141.78
2017-04-13 09:32:49,141.76,141.78
2017-04-13 09:32:50,141.76,141.78
2017-04-13 09:32:51,141.76,141.78
2017-04-13 09:32:52,141.76,141.78
2017-04-13 09:32:53,141.76,141.78
2017-04-13 09:32:54,141.76,141.78
2017-04-13 09:32:55,141.76,141.78
2017-04-13 09:32:56,141.76,141.78
2017-04-13 09:32:57,141.76,141.77
2017-04-13 09:32:58,141.77,141.8
2017-04-13 09:32:59,141.77,141.79
2017-04-13 09:33:00,141.77,141.79
2017-04-13 09:33:01,141.78,141.79
2017-04-13 09:33:02,141.77,141.79
2017-04-13 09:33:03,141.78,141.79
2017-04-13 09:33:04,141.76,141.77
2017-04-13 09:33:05,141.73,141.76
2017-04-13 09:33:06,141.71,141.73
2017-04-13 09:33:07,141.71,141.72
2017-04-13 09:33:08,141.69,141.7
2017-04-13 09:33:09,141.67,141.69
2017-04-13 09:33:10,141.66,141.67
2017-04-13 09:33:11,141.62,141.64
2017-04-13 09:33:12,141.63,141.64
2017-04-13 09:33:13,141.62,141.63
