datetime,direct.bid1,direct.ask1
2017-04-13 09:30:00,129.33,130.07
2017-04-13 09:30:01,129.55,129.75
2017-04-13 09:30:02,129.55,129.64
2017-04-13 09:30:03,129.55,129.64
2017-04-13 09:30:04,129.55,129.64
2017-04-13 09:30:05,129.19,129.38
2017-04-13 09:30:06,129.19,129.31
2017-04-13 09:30:07,129.1,129.31
2017-04-13 09:30:08,129.1,129.31
2017-04-13 09:30:09,129.1,129.31
2017-04-13 09:30:10,129.1,129.31
2017-04-13 09:30:11,129.1,129.3
2017-04-13 09:30:12,129.1,129.3
2017-04-13 09:30:13,129.1,129.3
2017-04-13 09:30:14,129.1,129.3
2017-04-13 09:30:15,129.1,129.3
2017-04-13 09:30:16,129.1,129.3
2017-04-13 09:30:17,129.1,129.3
2017-04-13 09:30:18,129.1,129.3
2017-04-13 09:30:19,129.1,129.3
2017-04-13 09:30:20,129.1,129.3
2017-04-13 09:30:21,129.1,129.3
2017-04-13 09:30:22,129.1,129.3
2017-04-13 09:30:23,129.1,129.3
2017-04-13 09:30:24,129.1,129.29
2017-04-13 09:30:25,129.1,129.29
2017-04-13 09:30:26,129.1,129.29
2017-04-13 09:30:27,129.1,129.29
2017-04-13 09:30:28,129.1,129.29
2017-04-13 09:30:29,129.1,129.29
2017-04-13 09:30:30,129.1,129.29
2017-04-13 09:30:31,129.1,129.29
2017-04-13 09:30:32,129.1,129.29
2017-04-13 09:30:33,129.1,129.29
2017-04-13 09:30:34,129.1,129.29
2017-04-13 09:30:35,129.1,129.29
2017-04-13 09:30:36,129.1,129.29
2017-04-13 09:30:37,129.1,129.28
2017-04-13 09:30:38,129.1,129.28
2017-04-13 09:30:39,129.1,129.28
2017-04-13 09:30:40,129.1,129.28
2017-04-13 09:30:41,129.1,129.28
2017-04-13 09:30:42,129.1,129.24
2017-04-13 09:30:43,129.01,129.24
2017-04-13 09:30:44,129.01,129.24
2017-04-13 09:30:45,129.01,129.24
2017-04-13 09:30:46,129.01,129.23
2017-04-13 09:30:47,129.01,129.23
2017-04-13 09:30:48,129.0,129.23
2017-04-13 09:30:49,129.0,129.23
2017-04-13 09:30:50,129.01,129.22
2017-04-13 09:30:51,129.01,129.22
2017-04-13 09:30:52,129.01,129.22
2017-04-13 09:30:53,129.01,129.22
2017-04-13 09:30:54,129.01,129.22
2017-04-13 09:30:55,129.01,129.21
2017-04-13 09:30:56,129.01,129.21
2017-04-13 09:30:57,129.01,129.21
2017-04-13 09:30:58,129.02,129.21
2017-04-13 09:30:59,129.02,129.21
2017-04-13 09:31:00,129.02,129.21
2017-04-13 09:31:01,129.02,129.21
2017-04-13 09:31:02,129.02,129.21
2017-04-13 09:31:03,129.02,129.21
2017-04-13 09:31:04,129.02,129.22
2017-04-13 09:31:05,129.05,129.19
2017-04-13 09:31:06,129.05,129.19
2017-04-13 09:31:07,129.05,129.19
2017-04-13 09:31:08,129.05,129.19
2017-04-13 09:31:09,129.05,129.19
2017-04-13 09:31:10,129.05,129.19
2017-04-13 09:31:11,129.15,129.33
2017-04-13 09:31:12,129.15,129.34
2017-04-13 09:31:13,129.15,129.33
2017-04-13 09:31:14,129.15,129.33
2017-04-13 09:31:15,129.15,129.33
2017-04-13 09:31:16,129.15,129.33
2017-04-13 09:31:17,129.15,129.33
2017-04-13 09:31:18,129.15,129.33
2017-04-13 09:31:19,129.15,129.33
2017-04-13 09:31:20,129.15,129.33
2017-04-13 09:31:21,129.15,129.33
2017-04-13 09:31:22,129.15,129.33
2017-04-13 09:31:23,129.16,129.33
2017-04-13 09:31:24,129.16,129.33
2017-04-13 09:31:25,129.16,129.34
