datetime,direct.bid1,direct.ask1
2017-04-13 09:30:00,891.55,892.95
2017-04-13 09:30:01,892.0,892.78
2017-04-13 09:30:02,892.5,892.99
2017-04-13 09:30:03,892.21,892.75
2017-04-13 09:30:04,892.51,892.99
2017-04-13 09:30:05,892.51,892.99
2017-04-13 09:30:06,892.33,892.99
2017-04-13 09:30:07,892.33,892.54
2017-04-13 09:30:08,892.02,892.53
2017-04-13 09:30:09,891.87,891.95
2017-04-13 09:30:10,891.75,891.95
2017-04-13 09:30:11,891.57,891.94
2017-04-13 09:30:12,891.53,891.86
2017-04-13 09:30:13,891.58,891.86
2017-04-13 09:30:14,891.63,892.53
2017-04-13 09:30:15,891.63,892.53
2017-04-13 09:30:16,891.64,892.54
2017-04-13 09:30:17,891.64,892.54
2017-04-13 09:30:18,891.64,892.54
2017-04-13 09:30:19,891.64,892.54
2017-04-13 09:30:20,891.64,892.54
2017-04-13 09:30:21,891.78,892.54
2017-04-13 09:30:22,891.78,892.54
2017-04-13 09:30:23,891.78,892.54
2017-04-13 09:30:24,891.78,892.54
2017-04-13 09:30:25,891.78,892.54
2017-04-13 09:30:26,891.77,892.45
2017-04-13 09:30:27,891.77,892.45
2017-04-13 09:30:28,891.77,892.45
2017-04-13 09:30:29,891.77,892.45
2017-04-13 09:30:30,891.77,892.45
2017-04-13 09:30:31,891.77,892.45
2017-04-13 09:30:32,891.77,892.44
2017-04-13 09:30:33,892.0,892.44
2017-04-13 09:30:34,891.67,892.2
2017-04-13 09:30:35,891.67,892.2
2017-04-13 09:30:36,891.58,892.2
2017-04-13 09:30:37,891.58,891.92
2017-04-13 09:30:38,891.23,891.92
2017-04-13 09:30:39,891.27,891.92
2017-04-13 09:30:40,891.28,891.92
2017-04-13 09:30:41,891.37,891.9
2017-04-13 09:30:42,891.37,891.9
2017-04-13 09:30:43,891.37,891.9
2017-04-13 09:30:44,891.45,891.64
2017-04-13 09:30:45,891.2,891.64
2017-04-13 09:30:46,891.2,891.64
2017-04-13 09:30:47,891.2,891.64
2017-04-13 09:30:48,891.2,891.64
2017-04-13 09:30:49,891.11,891.65
2017-04-13 09:30:50,891.11,891.65
2017-04-13 09:30:51,891.11,891.65
2017-04-13 09:30:52,891.11,891.63
2017-04-13 09:30:53,891.11,891.63
2017-04-13 09:30:54,891.06,891.63
