datetime,direct.bid1,direct.ask1
2017-04-13 09:30:00,173.2,173.61
2017-04-13 09:30:01,173.37,173.5
2017-04-13 09:30:02,173.25,173.6
2017-04-13 09:30:03,173.23,173.61
2017-04-13 09:30:04,173.23,173.61
2017-04-13 09:30:05,173.23,173.6
2017-04-13 09:30:06,173.23,173.6
2017-04-13 09:30:07,173.23,173.6
2017-04-13 09:30:08,173.23,173.6
2017-04-13 09:30:09,173.29,173.59
2017-04-13 09:30:10,173.29,173.59
2017-04-13 09:30:11,173.29,173.59
2017-04-13 09:30:12,173.29,173.59
2017-04-13 09:30:13,173.29,173.59
2017-04-13 09:30:14,173.29,173.59
2017-04-13 09:30:15,173.29,173.59
2017-04-13 09:30:16,173.29,173.59
2017-04-13 09:30:17,173.29,173.59
2017-04-13 09:30:18,173.3,173.59
2017-04-13 09:30:19,173.3,173.56
2017-04-13 09:30:20,173.3,173.56
2017-04-13 09:30:21,173.3,173.47
2017-04-13 09:30:22,173.3,173.47
2017-04-13 09:30:23,173.3,173.47
2017-04-13 09:30:24,173.3,173.46
2017-04-13 09:30:25,173.12,173.3
2017-04-13 09:30:26,173.12,173.3
2017-04-13 09:30:27,173.12,173.3
2017-04-13 09:30:28,173.12,173.3
2017-04-13 09:30:29,173.12,173.27
2017-04-13 09:30:30,173.12,173.27
2017-04-13 09:30:31,173.12,173.27
2017-04-13 09:30:32,173.12,173.27
2017-04-13 09:30:33,173.12,173.27
2017-04-13 09:30:34,173.12,173.26
2017-04-13 09:30:35,173.12,173.26
2017-04-13 09:30:36,173.12,173.26
2017-04-13 09:30:37,173.12,173.26
2017-04-13 09:30:38,173.12,173.26
2017-04-13 09:30:39,173.12,173.25
2017-04-13 09:30:40,173.12,173.25
2017-04-13 09:30:41,173.12,173.25
2017-04-13 09:30:42,173.12,173.25
2017-04-13 09:30:43,173.12,173.25
2017-04-13 09:30:44,173.12,173.22
2017-04-13 09:30:45,173.12,173.22
2017-04-13 09:30:46,173.27,173.47
2017-04-13 09:30:47,173.27,173.47
2017-04-13 09:30:48,173.27,173.47
2017-04-13 09:30:49,173.27,173.47
2017-04-13 09:30:50,173.27,173.47
2017-04-13 09:30:51,173.27,173.47
2017-04-13 09:30:52,173.27,173.47
2017-04-13 09:30:53,173.27,173.47
2017-04-13 09:30:54,173.27,173.47
2017-04-13 09:30:55,173.27,173.47
2017-04-13 09:30:56,173.27,173.47
2017-04-13 09:30:57,173.27,173.47
2017-04-13 09:30:58,173.27,173.47
2017-04-13 09:30:59,173.27,173.47
2017-04-13 09:31:00,173.27,173.47
2017-04-13 09:31:01,173.27,173.47
2017-04-13 09:31:02,173.31,174.0
2017-04-13 09:31:03,173.31,174.0
2017-04-13 09:31:04,173.31,174.0
2017-04-13 09:31:05,173.31,173.99
2017-04-13 09:31:06,173.35,173.99
2017-04-13 09:31:07,173.35,173.99
2017-04-13 09:31:08,173.4,173.99
2017-04-13 09:31:09,173.4,173.99
2017-04-13 09:31:10,173.4,173.99
2017-04-13 09:31:11,173.4,173.99
2017-04-13 09:31:12,173.4,173.99
2017-04-13 09:31:13,173.4,173.99
2017-04-13 09:31:14,173.4,173.99
2017-04-13 09:31:15,173.4,173.99
2017-04-13 09:31:16,173.4,173.99
2017-04-13 09:31:17,173.4,173.99
2017-04-13 09:31:18,173.4,173.99
2017-04-13 09:31:19,173.4,173.99
2017-04-13 09:31:20,173.4,173.99
2017-04-13 09:31:21,173.4,173.99
2017-04-13 09:31:22,173.4,173.99
2017-04-13 09:31:23,173.4,173.99
2017-04-13 09:31:24,173.4,173.99
2017-04-13 09:31:25,173.4,173.99
2017-04-13 09:31:26,173.4,173.99
2017-04-13 09:31:27,173.4,173.99
2017-04-13 09:31:28,173.4,173.99
2017-04-13 09:31:29,173.4,173.99
2017-04-13 09:31:30,173.4,173.99
2017-04-13 09:31:31,173.4,173.99
2017-04-13 09:31:32,173.4,173.99
2017-04-13 09:31:33,173.4,173.99
2017-04-13 09:31:34,173.4,173.99
2017-04-13 09:31:35,173.4,173.99
2017-04-13 09:31:36,173.4,173.99
