datetime,direct.bid1,direct.ask1
2017-04-13 09:30:00,825.2,825.43
2017-04-13 09:30:01,825.2,825.43
2017-04-13 09:30:02,824.29,825.2
2017-04-13 09:30:03,824.18,824.25
2017-04-13 09:30:04,823.52,824.96
2017-04-13 09:30:05,823.0,824.0
2017-04-13 09:30:06,823.0,823.77
2017-04-13 09:30:07,822.25,823.77
2017-04-13 09:30:08,822.25,823.77
2017-04-13 09:30:09,822.25,823.77
2017-04-13 09:30:10,822.25,823.77
2017-04-13 09:30:11,822.02,823.64
2017-04-13 09:30:12,822.02,823.64
2017-04-13 09:30:13,822.02,823.64
2017-04-13 09:30:14,822.02,823.64
2017-04-13 09:30:15,822.02,823.64
2017-04-13 09:30:16,822.02,823.64
2017-04-13 09:30:17,822.02,823.24
2017-04-13 09:30:18,822.02,823.21
2017-04-13 09:30:19,822.02,823.2
2017-04-13 09:30:20,822.02,822.98
2017-04-13 09:30:21,821.5,822.6
2017-04-13 09:30:22,821.5,822.43
2017-04-13 09:30:23,821.5,822.4
2017-04-13 09:30:24,821.16,822.11
2017-04-13 09:30:25,821.22,822.11
2017-04-13 09:30:26,821.16,821.96
2017-04-13 09:30:27,821.15,821.94
2017-04-13 09:30:28,821.15,821.93
2017-04-13 09:30:29,821.15,821.9
2017-04-13 09:30:30,821.15,821.89
2017-04-13 09:30:31,821.17,821.86
2017-04-13 09:30:32,821.17,821.86
2017-04-13 09:30:33,821.17,821.86
2017-04-13 09:30:34,821.17,821.86
2017-04-13 09:30:35,821.17,821.83
2017-04-13 09:30:36,821.17,821.83
2017-04-13 09:30:37,821.17,821.83
2017-04-13 09:30:38,821.17,821.83
2017-04-13 09:30:39,821.17,821.83
2017-04-13 09:30:40,821.17,821.83
2017-04-13 09:30:41,821.17,821.83
2017-04-13 09:30:42,821.17,821.83
2017-04-13 09:30:43,821.17,821.83
2017-04-13 09:30:44,821.17,821.83
2017-04-13 09:30:45,821.17,821.83
2017-04-13 09:30:46,821.17,821.83
2017-04-13 09:30:47,821.2,821.85
2017-04-13 09:30:48,821.2,821.85
2017-04-13 09:30:49,821.2,821.85
2017-04-13 09:30:50,821.86,822.67
2017-04-13 09:30:51,821.86,822.91
2017-04-13 09:30:52,821.86,822.91
2017-04-13 09:30:53,821.86,822.67
2017-04-13 09:30:54,821.86,822.67
2017-04-13 09:30:55,821.86,822.67
2017-04-13 09:30:56,821.87,822.63
2017-04-13 09:30:57,821.87,822.63
2017-04-13 09:30:58,821.87,822.63
