datetime,direct.bid1,direct.ask1
2017-04-13 09:30:00,169.74,170.3
2017-04-13 09:30:01,169.81,170.0
2017-04-13 09:30:02,169.81,170.0
2017-04-13 09:30:03,169.81,169.84
2017-04-13 09:30:04,169.81,169.99
2017-04-13 09:30:05,169.82,169.99
2017-04-13 09:30:06,169.81,169.99
2017-04-13 09:30:07,169.81,169.99
2017-04-13 09:30:08,169.81,169.99
2017-04-13 09:30:09,169.81,169.99
2017-04-13 09:30:10,169.81,169.99
2017-04-13 09:30:11,169.81,169.99
2017-04-13 09:30:12,169.81,169.99
2017-04-13 09:30:13,169.82,169.99
2017-04-13 09:30:14,169.82,169.99
2017-04-13 09:30:15,169.82,169.99
2017-04-13 09:30:16,169.82,169.99
2017-04-13 09:30:17,169.82,169.99
2017-04-13 09:30:18,169.82,169.99
2017-04-13 09:30:19,169.82,169.99
2017-04-13 09:30:20,169.82,169.99
2017-04-13 09:30:21,169.82,169.99
2017-04-13 09:30:22,169.82,169.99
2017-04-13 09:30:23,169.82,169.99
2017-04-13 09:30:24,169.82,169.99
2017-04-13 09:30:25,169.89,169.99
2017-04-13 09:30:26,169.89,169.99
2017-04-13 09:30:27,169.89,169.99
2017-04-13 09:30:28,169.89,169.99
2017-04-13 09:30:29,169.99,170.05
2017-04-13 09:30:30,169.99,170.05
2017-04-13 09:30:31,169.99,170.05
2017-04-13 09:30:32,169.99,170.05
2017-04-13 09:30:33,169.99,170.05
2017-04-13 09:30:34,169.99,170.05
2017-04-13 09:30:35,169.99,170.05
2017-04-13 09:30:36,169.99,170.05
2017-04-13 09:30:37,169.99,170.05
2017-04-13 09:30:38,169.93,170.04
2017-04-13 09:30:39,169.89,170.04
2017-04-13 09:30:40,169.89,170.04
2017-04-13 09:30:41,169.89,170.04
2017-04-13 09:30:42,169.89,170.04
2017-04-13 09:30:43,169.89,170.04
2017-04-13 09:30:44,169.89,170.04
2017-04-13 09:30:45,169.89,170.04
2017-04-13 09:30:46,169.89,170.04
2017-04-13 09:30:47,169.89,170.04
2017-04-13 09:30:48,169.89,170.04
2017-04-13 09:30:49,169.89,170.04
2017-04-13 09:30:50,169.89,170.04
2017-04-13 09:30:51,169.89,170.04
2017-04-13 09:30:52,169.89,170.04
2017-04-13 09:30:53,169.89,170.04
2017-04-13 09:30:54,169.89,170.04
2017-04-13 09:30:55,169.89,170.04
2017-04-13 09:30:56,169.89,170.04
2017-04-13 09:30:57,169.89,170.04
2017-04-13 09:30:58,169.89,170.04
2017-04-13 09:30:59,169.89,170.03
2017-04-13 09:31:00,169.89,170.03
2017-04-13 09:31:01,169.81,169.91
2017-04-13 09:31:02,169.8,169.91
2017-04-13 09:31:03,169.8,169.91
2017-04-13 09:31:04,169.8,169.91
2017-04-13 09:31:05,169.8,169.91
2017-04-13 09:31:06,169.8,169.91
