datetime,direct.bid1,direct.ask1
2017-04-13 09:30:00,26.56,26.57
2017-04-13 09:30:01,26.56,26.57
2017-04-13 09:30:02,26.56,26.58
2017-04-13 09:30:03,26.56,26.59
2017-04-13 09:30:04,26.56,26.57
2017-04-13 09:30:05,26.56,26.57
2017-04-13 09:30:06,26.56,26.59
2017-04-13 09:30:07,26.56,26.59
2017-04-13 09:30:08,26.56,26.59
2017-04-13 09:30:09,26.56,26.57
2017-04-13 09:30:10,26.56,26.57
2017-04-13 09:30:11,26.56,26.57
2017-04-13 09:30:12,26.56,26.57
2017-04-13 09:30:13,26.56,26.57
2017-04-13 09:30:14,26.56,26.59
2017-04-13 09:30:15,26.55,26.57
2017-04-13 09:30:16,26.55,26.57
2017-04-13 09:30:17,26.55,26.57
2017-04-13 09:30:18,26.55,26.57
2017-04-13 09:30:19,26.55,26.57
2017-04-13 09:30:20,26.56,26.59
2017-04-13 09:30:21,26.55,26.57
2017-04-13 09:30:22,26.55,26.57
2017-04-13 09:30:23,26.55,26.57
2017-04-13 09:30:24,26.54,26.55
2017-04-13 09:30:25,26.53,26.54
2017-04-13 09:30:26,26.52,26.53
2017-04-13 09:30:27,26.51,26.53
2017-04-13 09:30:28,26.51,26.53
2017-04-13 09:30:29,26.51,26.53
2017-04-13 09:30:30,26.51,26.53
2017-04-13 09:30:31,26.51,26.53
2017-04-13 09:30:32,26.51,26.53
2017-04-13 09:30:33,26.51,26.53
2017-04-13 09:30:34,26.51,26.53
2017-04-13 09:30:35,26.46,26.48
2017-04-13 09:30:36,26.43,26.45
2017-04-13 09:30:37,26.42,26.44
2017-04-13 09:30:38,26.44,26.45
2017-04-13 09:30:39,26.44,26.45
2017-04-13 09:30:40,26.38,26.4
2017-04-13 09:30:41,26.36,26.4
2017-04-13 09:30:42,26.36,26.39
2017-04-13 09:30:43,26.36,26.39
2017-04-13 09:30:44,26.37,26.39
2017-04-13 09:30:45,26.37,26.39
2017-04-13 09:30:46,26.36,26.38
