datetime,direct.bid1,direct.ask1
2017-04-13 09:30:00,78.3,78.48
2017-04-13 09:30:01,78.33,78.48
2017-04-13 09:30:02,78.42,78.48
2017-04-13 09:30:03,78.37,78.48
2017-04-13 09:30:04,78.35,78.43
2017-04-13 09:30:05,78.31,78.35
2017-04-13 09:30:06,78.31,78.35
2017-04-13 09:30:07,78.31,78.35
2017-04-13 09:30:08,78.31,78.35
2017-04-13 09:30:09,78.31,78.35
2017-04-13 09:30:10,78.32,78.44
2017-04-13 09:30:11,78.33,78.44
2017-04-13 09:30:12,78.33,78.46
2017-04-13 09:30:13,78.33,78.46
2017-04-13 09:30:14,78.33,78.46
2017-04-13 09:30:15,78.33,78.46
2017-04-13 09:30:16,78.33,78.46
2017-04-13 09:30:17,78.33,78.46
2017-04-13 09:30:18,78.33,78.46
2017-04-13 09:30:19,78.33,78.46
2017-04-13 09:30:20,78.33,78.45
2017-04-13 09:30:21,78.33,78.45
2017-04-13 09:30:22,78.33,78.45
2017-04-13 09:30:23,78.33,78.45
2017-04-13 09:30:24,78.33,78.45
2017-04-13 09:30:25,78.33,78.45
2017-04-13 09:30:26,78.33,78.45
2017-04-13 09:30:27,78.33,78.45
2017-04-13 09:30:28,78.33,78.45
2017-04-13 09:30:29,78.33,78.45
2017-04-13 09:30:30,78.33,78.45
2017-04-13 09:30:31,78.33,78.45
2017-04-13 09:30:32,78.33,78.45
2017-04-13 09:30:33,78.33,78.45
2017-04-13 09:30:34,78.33,78.45
2017-04-13 09:30:35,78.33,78.45
2017-04-13 09:30:36,78.33,78.45
2017-04-13 09:30:37,78.33,78.45
2017-04-13 09:30:38,78.33,78.45
2017-04-13 09:30:39,78.33,78.45
2017-04-13 09:30:40,78.33,78.45
2017-04-13 09:30:41,78.33,78.45
2017-04-13 09:30:42,78.33,78.45
2017-04-13 09:30:43,78.33,78.45
2017-04-13 09:30:44,78.33,78.45
2017-04-13 09:30:45,78.33,78.45
2017-04-13 09:30:46,78.33,78.45
2017-04-13 09:30:47,78.33,78.45
2017-04-13 09:30:48,78.33,78.45
2017-04-13 09:30:49,78.33,78.45
2017-04-13 09:30:50,78.33,78.45
2017-04-13 09:30:51,78.33,78.45
2017-04-13 09:30:52,78.33,78.45
2017-04-13 09:30:53,78.33,78.45
2017-04-13 09:30:54,78.33,78.45
2017-04-13 09:30:55,78.33,78.45
2017-04-13 09:30:56,78.33,78.45
2017-04-13 09:30:57,78.33,78.45
2017-04-13 09:30:58,78.33,78.45
2017-04-13 09:30:59,78.33,78.45
2017-04-13 09:31:00,78.33,78.45
2017-04-13 09:31:01,78.34,78.45
2017-04-13 09:31:02,78.32,78.36
2017-04-13 09:31:03,78.32,78.36
2017-04-13 09:31:04,78.32,78.36
2017-04-13 09:31:05,78.32,78.36
2017-04-13 09:31:06,78.33,78.36
2017-04-13 09:31:07,78.33,78.36
2017-04-13 09:31:08,78.33,78.36
2017-04-13 09:31:09,78.33,78.36
2017-04-13 09:31:10,78.33,78.36
2017-04-13 09:31:11,78.33,78.36
2017-04-13 09:31:12,78.33,78.36
2017-04-13 09:31:13,78.33,78.36
2017-04-13 09:31:14,78.34,78.38
2017-04-13 09:31:15,78.34,78.38
2017-04-13 09:31:16,78.34,78.38
2017-04-13 09:31:17,78.34,78.38
