datetime,direct.bid1,direct.ask1
2017-04-13 09:30:00,90.62,91.07
2017-04-13 09:30:01,90.91,91.19
2017-04-13 09:30:02,90.83,91.19
2017-04-13 09:30:03,91.0,91.19
2017-04-13 09:30:04,91.0,91.19
2017-04-13 09:30:05,91.0,91.19
2017-04-13 09:30:06,91.0,91.19
2017-04-13 09:30:07,91.0,91.19
2017-04-13 09:30:08,91.0,91.19
2017-04-13 09:30:09,91.0,91.19
2017-04-13 09:30:10,91.0,91.19
2017-04-13 09:30:11,91.0,91.19
2017-04-13 09:30:12,91.0,91.19
2017-04-13 09:30:13,91.0,91.19
2017-04-13 09:30:14,91.0,91.19
2017-04-13 09:30:15,91.0,91.19
2017-04-13 09:30:16,91.0,91.18
2017-04-13 09:30:17,91.0,91.18
2017-04-13 09:30:18,91.0,91.18
2017-04-13 09:30:19,91.0,91.18
2017-04-13 09:30:20,91.0,91.18
2017-04-13 09:30:21,91.0,91.18
2017-04-13 09:30:22,91.0,91.18
2017-04-13 09:30:23,91.0,91.18
2017-04-13 09:30:24,91.0,91.18
2017-04-13 09:30:25,91.0,91.18
2017-04-13 09:30:26,91.0,91.18
2017-04-13 09:30:27,91.0,91.18
2017-04-13 09:30:28,91.0,91.18
2017-04-13 09:30:29,91.0,91.18
2017-04-13 09:30:30,91.0,91.18
2017-04-13 09:30:31,91.0,91.18
2017-04-13 09:30:32,91.0,91.18
2017-04-13 09:30:33,91.0,91.18
2017-04-13 09:30:34,91.0,91.18
2017-04-13 09:30:35,91.0,91.18
2017-04-13 09:30:36,91.0,91.18
2017-04-13 09:30:37,91.0,91.18
2017-04-13 09:30:38,91.0,91.18
2017-04-13 09:30:39,91.0,91.18
2017-04-13 09:30:40,91.0,91.18
2017-04-13 09:30:41,91.0,91.18
2017-04-13 09:30:42,91.0,91.18
2017-04-13 09:30:43,91.0,91.18
2017-04-13 09:30:44,91.0,91.18
2017-04-13 09:30:45,91.0,91.18
2017-04-13 09:30:46,91.0,91.18
2017-04-13 09:30:47,91.0,91.18
2017-04-13 09:30:48,91.0,91.18
2017-04-13 09:30:49,91.0,91.18
2017-04-13 09:30:50,91.0,91.18
2017-04-13 09:30:51,91.0,91.18
2017-04-13 09:30:52,91.0,91.18
2017-04-13 09:30:53,91.0,91.18
2017-04-13 09:30:54,91.0,91.18
2017-04-13 09:30:55,91.0,91.18
2017-04-13 09:30:56,91.0,91.18
2017-04-13 09:30:57,91.0,91.17
2017-04-13 09:30:58,91.0,91.17
2017-04-13 09:30:59,91.0,91.17
2017-04-13 09:31:00,91.0,91.16
2017-04-13 09:31:01,91.0,91.16
2017-04-13 09:31:02,90.9,91.08
2017-04-13 09:31:03,90.9,91.08
2017-04-13 09:31:04,90.9,91.08
2017-04-13 09:31:05,90.9,91.08
2017-04-13 09:31:06,90.9,91.08
2017-04-13 09:31:07,90.83,91.08
2017-04-13 09:31:08,90.83,91.07
2017-04-13 09:31:09,90.86,91.07
2017-04-13 09:31:10,90.86,91.07
2017-04-13 09:31:11,90.86,91.07
2017-04-13 09:31:12,90.86,91.07
2017-04-13 09:31:13,90.87,91.07
2017-04-13 09:31:14,90.88,91.07
2017-04-13 09:31:15,90.83,91.07
2017-04-13 09:31:16,90.83,91.07
2017-04-13 09:31:17,90.83,91.07
2017-04-13 09:31:18,90.83,91.07
2017-04-13 09:31:19,90.83,91.07
2017-04-13 09:31:20,90.83,91.07
2017-04-13 09:31:21,90.83,91.07
2017-04-13 09:31:22,90.83,91.07
2017-04-13 09:31:23,90.83,91.07
2017-04-13 09:31:24,90.83,91.07
2017-04-13 09:31:25,90.83,91.07
2017-04-13 09:31:26,90.83,91.07
2017-04-13 09:31:27,90.83,91.07
2017-04-13 09:31:28,90.83,91.07
2017-04-13 09:31:29,90.83,91.07
2017-04-13 09:31:30,90.83,91.07
2017-04-13 09:31:31,90.83,91.07
2017-04-13 09:31:32,90.83,91.07
2017-04-13 09:31:33,90.83,91.07
2017-04-13 09:31:34,90.83,91.07
2017-04-13 09:31:35,90.83,91.07
2017-04-13 09:31:36,90.83,91.07
2017-04-13 09:31:37,90.83,91.07
2017-04-13 09:31:38,90.83,91.07
2017-04-13 09:31:39,90.83,91.07
2017-04-13 09:31:40,90.83,91.07
2017-04-13 09:31:41,90.83,91.07
2017-04-13 09:31:42,90.83,91.07
2017-04-13 09:31:43,90.83,91.07
2017-04-13 09:31:44,90.83,91.07
2017-04-13 09:31:45,90.83,91.07
2017-04-13 09:31:46,90.83,91.07
2017-04-13 09:31:47,90.83,91.07
2017-04-13 09:31:48,90.83,91.07
2017-04-13 09:31:49,90.83,91.07
2017-04-13 09:31:50,90.83,91.07
2017-04-13 09:31:51,90.83,91.07
2017-04-13 09:31:52,90.83,91.07
2017-04-13 09:31:53,90.83,91.07
2017-04-13 09:31:54,90.83,91.07
2017-04-13 09:31:55,90.83,91.07
2017-04-13 09:31:56,90.83,91.07
2017-04-13 09:31:57,90.83,91.07
2017-04-13 09:31:58,90.83,91.07
2017-04-13 09:31:59,90.83,91.07
2017-04-13 09:32:00,90.83,91.07
2017-04-13 09:32:01,90.83,91.07
2017-04-13 09:32:02,90.83,91.07
2017-04-13 09:32:03,90.83,91.07
2017-04-13 09:32:04,90.83,91.07
2017-04-13 09:32:05,90.83,91.07
2017-04-13 09:32:06,90.83,91.07
2017-04-13 09:32:07,90.83,91.06
2017-04-13 09:32:08,90.83,91.06
2017-04-13 09:32:09,90.83,91.06
2017-04-13 09:32:10,90.83,91.06
2017-04-13 09:32:11,90.83,91.06
2017-04-13 09:32:12,90.83,91.05
2017-04-13 09:32:13,90.83,91.05
2017-04-13 09:32:14,90.83,91.05
2017-04-13 09:32:15,90.83,91.05
2017-04-13 09:32:16,90.83,91.05
2017-04-13 09:32:17,90.83,91.05
2017-04-13 09:32:18,90.83,91.05
2017-04-13 09:32:19,90.83,91.05
2017-04-13 09:32:20,90.83,91.05
2017-04-13 09:32:21,90.83,91.05
2017-04-13 09:32:22,90.83,91.05
2017-04-13 09:32:23,90.85,91.05
2017-04-13 09:32:24,90.85,91.05
2017-04-13 09:32:25,90.85,91.05
2017-04-13 09:32:26,90.85,91.05
2017-04-13 09:32:27,90.85,91.05
2017-04-13 09:32:28,90.85,91.05
2017-04-13 09:32:29,90.85,91.05
2017-04-13 09:32:30,90.88,91.07
2017-04-13 09:32:31,90.88,91.04
2017-04-13 09:32:32,90.88,91.04
2017-04-13 09:32:33,90.88,91.04
2017-04-13 09:32:34,90.88,91.04
2017-04-13 09:32:35,90.88,91.04
2017-04-13 09:32:36,90.88,91.04
2017-04-13 09:32:37,90.88,91.04
2017-04-13 09:32:38,90.88,91.04
2017-04-13 09:32:39,90.88,91.04
2017-04-13 09:32:40,90.88,91.04
2017-04-13 09:32:41,90.88,91.04
2017-04-13 09:32:42,90.88,91.07
2017-04-13 09:32:43,90.88,91.07
2017-04-13 09:32:44,90.88,91.04
2017-04-13 09:32:45,90.88,91.04
2017-04-13 09:32:46,90.88,91.04
2017-04-13 09:32:47,90.88,91.04
2017-04-13 09:32:48,90.88,91.04
2017-04-13 09:32:49,90.88,91.04
2017-04-13 09:32:50,90.88,91.04
2017-04-13 09:32:51,90.88,91.04
2017-04-13 09:32:52,90.88,91.04
2017-04-13 09:32:53,90.88,91.04
2017-04-13 09:32:54,90.88,91.04
2017-04-13 09:32:55,90.88,91.04
2017-04-13 09:32:56,90.88,91.02
2017-04-13 09:32:57,90.88,91.02
2017-04-13 09:32:58,90.88,91.02
2017-04-13 09:32:59,90.88,91.02
2017-04-13 09:33:00,90.88,91.02
2017-04-13 09:33:01,90.88,91.02
2017-04-13 09:33:02,90.88,91.02
2017-04-13 09:33:03,90.88,91.02
2017-04-13 09:33:04,90.88,91.02
2017-04-13 09:33:05,90.88,91.07
2017-04-13 09:33:06,90.88,91.01
2017-04-13 09:33:07,90.88,91.01
2017-04-13 09:33:08,90.88,91.01
2017-04-13 09:33:09,90.88,91.01
2017-04-13 09:33:10,90.88,91.01
2017-04-13 09:33:11,90.88,91.01
2017-04-13 09:33:12,90.88,91.06
2017-04-13 09:33:13,90.88,91.06
2017-04-13 09:33:14,90.88,91.06
2017-04-13 09:33:15,90.88,91.06
2017-04-13 09:33:16,90.88,91.06
2017-04-13 09:33:17,90.88,91.06
2017-04-13 09:33:18,90.88,91.06
2017-04-13 09:33:19,90.88,91.06
2017-04-13 09:33:20,90.88,91.0
2017-04-13 09:33:21,90.88,91.0
2017-04-13 09:33:22,90.88,91.0
2017-04-13 09:33:23,90.88,91.0
2017-04-13 09:33:24,90.88,91.0
2017-04-13 09:33:25,90.92,91.0
2017-04-13 09:33:26,90.92,91.0
2017-04-13 09:33:27,90.92,91.0
2017-04-13 09:33:28,90.92,91.0
2017-04-13 09:33:29,90.92,91.0
2017-04-13 09:33:30,90.92,91.0
2017-04-13 09:33:31,90.83,90.96
2017-04-13 09:33:32,90.83,90.96
2017-04-13 09:33:33,90.83,90.96
2017-04-13 09:33:34,90.83,90.94
2017-04-13 09:33:35,90.83,90.94
2017-04-13 09:33:36,90.83,90.94
2017-04-13 09:33:37,90.83,90.93
2017-04-13 09:33:38,90.83,90.93
2017-04-13 09:33:39,90.83,90.93
2017-04-13 09:33:40,90.83,90.93
2017-04-13 09:33:41,90.78,90.84
2017-04-13 09:33:42,90.78,90.9
2017-04-13 09:33:43,90.78,90.9
2017-04-13 09:33:44,90.78,90.9
2017-04-13 09:33:45,90.78,90.9
2017-04-13 09:33:46,90.78,90.87
2017-04-13 09:33:47,90.75,90.87
2017-04-13 09:33:48,90.75,90.87
2017-04-13 09:33:49,90.75,90.87
2017-04-13 09:33:50,90.75,90.87
2017-04-13 09:33:51,90.75,90.87
2017-04-13 09:33:52,90.75,90.87
2017-04-13 09:33:53,90.75,90.87
2017-04-13 09:33:54,90.75,90.87
2017-04-13 09:33:55,90.75,90.87
2017-04-13 09:33:56,90.75,90.87
2017-04-13 09:33:57,90.75,90.87
2017-04-13 09:33:58,90.75,90.87
2017-04-13 09:33:59,90.75,90.87
2017-04-13 09:34:00,90.75,90.87
2017-04-13 09:34:01,90.75,90.87
2017-04-13 09:34:02,90.75,90.87
2017-04-13 09:34:03,90.75,90.87
2017-04-13 09:34:04,90.75,90.87
2017-04-13 09:34:05,90.75,90.87
2017-04-13 09:34:06,90.75,90.87
2017-04-13 09:34:07,90.75,90.87
2017-04-13 09:34:08,90.75,90.87
2017-04-13 09:34:09,90.75,90.87
2017-04-13 09:34:10,90.75,90.87
2017-04-13 09:34:11,90.75,90.87
2017-04-13 09:34:12,90.75,90.87
2017-04-13 09:34:13,90.75,90.87
2017-04-13 09:34:14,90.75,90.87
2017-04-13 09:34:15,90.75,90.87
2017-04-13 09:34:16,90.75,90.87
2017-04-13 09:34:17,90.75,90.85
2017-04-13 09:34:18,90.75,90.85
2017-04-13 09:34:19,90.75,90.85
2017-04-13 09:34:20,90.75,90.85
2017-04-13 09:34:21,90.75,90.85
2017-04-13 09:34:22,90.75,90.85
2017-04-13 09:34:23,90.75,90.85
2017-04-13 09:34:24,90.75,90.85
2017-04-13 09:34:25,90.75,90.85
2017-04-13 09:34:26,90.75,90.85
2017-04-13 09:34:27,90.75,90.85
2017-04-13 09:34:28,90.75,90.83
2017-04-13 09:34:29,90.95,91.01
2017-04-13 09:34:30,90.95,91.01
2017-04-13 09:34:31,90.95,91.14
2017-04-13 09:34:32,90.95,91.14
2017-04-13 09:34:33,90.95,91.14
2017-04-13 09:34:34,90.95,91.14
2017-04-13 09:34:35,90.95,91.14
2017-04-13 09:34:36,90.95,91.14
2017-04-13 09:34:37,90.95,91.14
2017-04-13 09:34:38,90.95,91.14
2017-04-13 09:34:39,90.95,91.14
2017-04-13 09:34:40,90.95,91.14
2017-04-13 09:34:41,90.95,91.14
2017-04-13 09:34:42,90.95,91.14
2017-04-13 09:34:43,90.95,91.14
2017-04-13 09:34:44,90.95,91.14
2017-04-13 09:34:45,90.95,91.14
2017-04-13 09:34:46,90.95,91.14
2017-04-13 09:34:47,90.95,91.13
2017-04-13 09:34:48,90.95,91.13
2017-04-13 09:34:49,90.95,91.13
2017-04-13 09:34:50,90.95,91.13
2017-04-13 09:34:51,90.95,91.13
2017-04-13 09:34:52,90.95,91.13
2017-04-13 09:34:53,90.95,91.13
2017-04-13 09:34:54,90.95,91.14
2017-04-13 09:34:55,90.95,91.14
2017-04-13 09:34:56,90.95,91.14
2017-04-13 09:34:57,90.95,91.14
2017-04-13 09:34:58,90.95,91.12
2017-04-13 09:34:59,90.95,91.12
2017-04-13 09:35:00,90.95,91.12
2017-04-13 09:35:01,90.89,91.12
2017-04-13 09:35:02,91.04,91.12
2017-04-13 09:35:03,91.04,91.12
2017-04-13 09:35:04,91.04,91.12
2017-04-13 09:35:05,91.04,91.12
2017-04-13 09:35:06,91.04,91.12
2017-04-13 09:35:07,91.04,91.12
2017-04-13 09:35:08,91.04,91.12
2017-04-13 09:35:09,91.04,91.12
2017-04-13 09:35:10,91.04,91.15
2017-04-13 09:35:11,91.04,91.15
2017-04-13 09:35:12,91.04,91.15
2017-04-13 09:35:13,91.04,91.13
2017-04-13 09:35:14,91.04,91.13
2017-04-13 09:35:15,91.04,91.13
2017-04-13 09:35:16,91.04,91.12
2017-04-13 09:35:17,91.04,91.12
2017-04-13 09:35:18,91.04,91.12
2017-04-13 09:35:19,91.04,91.12
2017-04-13 09:35:20,91.04,91.12
2017-04-13 09:35:21,90.91,91.11
2017-04-13 09:35:22,91.04,91.12
2017-04-13 09:35:23,91.04,91.12
2017-04-13 09:35:24,91.04,91.12
2017-04-13 09:35:25,91.04,91.12
2017-04-13 09:35:26,91.04,91.12
2017-04-13 09:35:27,91.04,91.12
2017-04-13 09:35:28,91.04,91.13
2017-04-13 09:35:29,91.04,91.13
2017-04-13 09:35:30,91.04,91.13
2017-04-13 09:35:31,91.04,91.13
2017-04-13 09:35:32,91.04,91.13
2017-04-13 09:35:33,91.04,91.13
2017-04-13 09:35:34,91.04,91.13
2017-04-13 09:35:35,91.04,91.13
2017-04-13 09:35:36,91.04,91.13
2017-04-13 09:35:37,91.04,91.13
2017-04-13 09:35:38,91.04,91.13
2017-04-13 09:35:39,91.04,91.13
2017-04-13 09:35:40,91.04,91.13
2017-04-13 09:35:41,91.04,91.13
2017-04-13 09:35:42,91.04,91.13
2017-04-13 09:35:43,91.04,91.13
2017-04-13 09:35:44,91.04,91.13
2017-04-13 09:35:45,91.04,91.13
2017-04-13 09:35:46,91.04,91.13
2017-04-13 09:35:47,91.04,91.13
2017-04-13 09:35:48,91.04,91.13
2017-04-13 09:35:49,91.04,91.13
2017-04-13 09:35:50,91.04,91.13
2017-04-13 09:35:51,91.04,91.13
2017-04-13 09:35:52,91.04,91.13
2017-04-13 09:35:53,91.04,91.13
2017-04-13 09:35:54,91.04,91.13
2017-04-13 09:35:55,91.04,91.13
2017-04-13 09:35:56,91.04,91.13
2017-04-13 09:35:57,91.04,91.13
2017-04-13 09:35:58,91.04,91.13
2017-04-13 09:35:59,91.04,91.13
2017-04-13 09:36:00,91.04,91.13
2017-04-13 09:36:01,91.04,91.13
2017-04-13 09:36:02,91.04,91.13
2017-04-13 09:36:03,91.04,91.13
2017-04-13 09:36:04,91.04,91.13
2017-04-13 09:36:05,91.04,91.13
2017-04-13 09:36:06,91.05,91.22
2017-04-13 09:36:07,91.05,91.22
2017-04-13 09:36:08,91.05,91.22
2017-04-13 09:36:09,91.05,91.22
2017-04-13 09:36:10,91.05,91.22
2017-04-13 09:36:11,91.05,91.22
2017-04-13 09:36:12,91.05,91.21
2017-04-13 09:36:13,91.05,91.21
2017-04-13 09:36:14,91.05,91.21
2017-04-13 09:36:15,91.05,91.21
2017-04-13 09:36:16,91.05,91.21
2017-04-13 09:36:17,91.05,91.21
2017-04-13 09:36:18,91.05,91.21
2017-04-13 09:36:19,91.05,91.21
2017-04-13 09:36:20,91.05,91.19
2017-04-13 09:36:21,91.05,91.19
2017-04-13 09:36:22,91.05,91.19
2017-04-13 09:36:23,91.05,91.19
2017-04-13 09:36:24,91.05,91.19
2017-04-13 09:36:25,91.05,91.19
2017-04-13 09:36:26,91.05,91.19
2017-04-13 09:36:27,91.05,91.19
2017-04-13 09:36:28,91.05,91.19
2017-04-13 09:36:29,91.05,91.19
2017-04-13 09:36:30,91.05,91.19
2017-04-13 09:36:31,91.05,91.22
2017-04-13 09:36:32,91.05,91.22
2017-04-13 09:36:33,91.05,91.22
2017-04-13 09:36:34,91.05,91.22
2017-04-13 09:36:35,91.05,91.2
2017-04-13 09:36:36,91.05,91.2
2017-04-13 09:36:37,91.05,91.19
2017-04-13 09:36:38,91.05,91.19
2017-04-13 09:36:39,91.05,91.19
2017-04-13 09:36:40,91.05,91.19
2017-04-13 09:36:41,91.05,91.19
2017-04-13 09:36:42,91.05,91.19
2017-04-13 09:36:43,91.05,91.19
2017-04-13 09:36:44,91.05,91.19
2017-04-13 09:36:45,91.05,91.19
2017-04-13 09:36:46,91.05,91.2
2017-04-13 09:36:47,91.05,91.2
2017-04-13 09:36:48,91.05,91.2
2017-04-13 09:36:49,91.05,91.2
2017-04-13 09:36:50,91.05,91.2
2017-04-13 09:36:51,91.05,91.2
2017-04-13 09:36:52,91.05,91.2
2017-04-13 09:36:53,91.05,91.2
2017-04-13 09:36:54,91.05,91.2
2017-04-13 09:36:55,91.05,91.2
2017-04-13 09:36:56,91.05,91.2
2017-04-13 09:36:57,91.05,91.2
2017-04-13 09:36:58,91.05,91.2
2017-04-13 09:36:59,91.05,91.2
2017-04-13 09:37:00,91.05,91.2
2017-04-13 09:37:01,91.05,91.2
2017-04-13 09:37:02,91.05,91.2
2017-04-13 09:37:03,91.05,91.2
2017-04-13 09:37:04,91.05,91.2
2017-04-13 09:37:05,91.05,91.2
2017-04-13 09:37:06,91.05,91.19
2017-04-13 09:37:07,91.05,91.19
