datetime,direct.bid1,direct.ask1
2017-04-13 09:30:00,52.46,52.67
2017-04-13 09:30:01,52.5,52.52
2017-04-13 09:30:02,52.5,52.51
2017-04-13 09:30:03,52.5,52.52
2017-04-13 09:30:04,52.5,52.52
2017-04-13 09:30:05,52.5,52.51
2017-04-13 09:30:06,52.48,52.5
2017-04-13 09:30:07,52.47,52.49
2017-04-13 09:30:08,52.48,52.49
2017-04-13 09:30:09,52.47,52.49
2017-04-13 09:30:10,52.46,52.48
2017-04-13 09:30:11,52.46,52.48
2017-04-13 09:30:12,52.47,52.48
2017-04-13 09:30:13,52.45,52.47
2017-04-13 09:30:14,52.47,52.49
2017-04-13 09:30:15,52.47,52.49
2017-04-13 09:30:16,52.47,52.49
2017-04-13 09:30:17,52.46,52.47
2017-04-13 09:30:18,52.47,52.48
2017-04-13 09:30:19,52.47,52.49
2017-04-13 09:30:20,52.48,52.49
2017-04-13 09:30:21,52.48,52.49
2017-04-13 09:30:22,52.48,52.49
2017-04-13 09:30:23,52.47,52.49
2017-04-13 09:30:24,52.47,52.49
2017-04-13 09:30:25,52.47,52.49
2017-04-13 09:30:26,52.48,52.49
2017-04-13 09:30:27,52.47,52.49
2017-04-13 09:30:28,52.48,52.49
2017-04-13 09:30:29,52.48,52.49
2017-04-13 09:30:30,52.47,52.48
2017-04-13 09:30:31,52.47,52.49
2017-04-13 09:30:32,52.47,52.49
2017-04-13 09:30:33,52.47,52.49
2017-04-13 09:30:34,52.47,52.49
2017-04-13 09:30:35,52.47,52.49
2017-04-13 09:30:36,52.47,52.49
2017-04-13 09:30:37,52.47,52.49
2017-04-13 09:30:38,52.47,52.48
2017-04-13 09:30:39,52.46,52.48
2017-04-13 09:30:40,52.46,52.48
2017-04-13 09:30:41,52.46,52.47
2017-04-13 09:30:42,52.46,52.48
2017-04-13 09:30:43,52.46,52.48
2017-04-13 09:30:44,52.46,52.47
2017-04-13 09:30:45,52.45,52.47
2017-04-13 09:30:46,52.45,52.47
2017-04-13 09:30:47,52.46,52.47
2017-04-13 09:30:48,52.45,52.47
2017-04-13 09:30:49,52.46,52.47
2017-04-13 09:30:50,52.47,52.48
2017-04-13 09:30:51,52.47,52.48
2017-04-13 09:30:52,52.47,52.48
2017-04-13 09:30:53,52.47,52.48
2017-04-13 09:30:54,52.47,52.48
2017-04-13 09:30:55,52.47,52.48
2017-04-13 09:30:56,52.46,52.48
2017-04-13 09:30:57,52.46,52.47
2017-04-13 09:30:58,52.47,52.48
2017-04-13 09:30:59,52.47,52.48
2017-04-13 09:31:00,52.46,52.47
2017-04-13 09:31:01,52.46,52.47
2017-04-13 09:31:02,52.46,52.47
2017-04-13 09:31:03,52.46,52.47
2017-04-13 09:31:04,52.46,52.47
2017-04-13 09:31:05,52.46,52.47
2017-04-13 09:31:06,52.46,52.47
2017-04-13 09:31:07,52.46,52.47
2017-04-13 09:31:08,52.46,52.47
2017-04-13 09:31:09,52.46,52.48
2017-04-13 09:31:10,52.47,52.48
2017-04-13 09:31:11,52.46,52.48
2017-04-13 09:31:12,52.46,52.48
2017-04-13 09:31:13,52.46,52.48
2017-04-13 09:31:14,52.46,52.48
2017-04-13 09:31:15,52.46,52.48
2017-04-13 09:31:16,52.47,52.48
2017-04-13 09:31:17,52.46,52.48
2017-04-13 09:31:18,52.47,52.48
2017-04-13 09:31:19,52.47,52.48
2017-04-13 09:31:20,52.48,52.49
2017-04-13 09:31:21,52.48,52.49
2017-04-13 09:31:22,52.48,52.49
2017-04-13 09:31:23,52.48,52.49
2017-04-13 09:31:24,52.48,52.49
2017-04-13 09:31:25,52.48,52.49
2017-04-13 09:31:26,52.48,52.49
2017-04-13 09:31:27,52.48,52.49
2017-04-13 09:31:28,52.49,52.5
2017-04-13 09:31:29,52.49,52.5
2017-04-13 09:31:30,52.49,52.5
2017-04-13 09:31:31,52.5,52.51
2017-04-13 09:31:32,52.5,52.51
2017-04-13 09:31:33,52.49,52.51
2017-04-13 09:31:34,52.49,52.5
2017-04-13 09:31:35,52.49,52.51
2017-04-13 09:31:36,52.49,52.5
2017-04-13 09:31:37,52.49,52.5
2017-04-13 09:31:38,52.49,52.5
2017-04-13 09:31:39,52.49,52.5
2017-04-13 09:31:40,52.49,52.5
2017-04-13 09:31:41,52.5,52.51
2017-04-13 09:31:42,52.5,52.51
2017-04-13 09:31:43,52.5,52.51
2017-04-13 09:31:44,52.5,52.51
2017-04-13 09:31:45,52.5,52.51
2017-04-13 09:31:46,52.5,52.51
2017-04-13 09:31:47,52.5,52.51
2017-04-13 09:31:48,52.5,52.51
2017-04-13 09:31:49,52.5,52.52
2017-04-13 09:31:50,52.5,52.52
2017-04-13 09:31:51,52.5,52.52
2017-04-13 09:31:52,52.5,52.52
2017-04-13 09:31:53,52.51,52.53
2017-04-13 09:31:54,52.51,52.52
2017-04-13 09:31:55,52.51,52.52
2017-04-13 09:31:56,52.51,52.52
2017-04-13 09:31:57,52.51,52.53
2017-04-13 09:31:58,52.51,52.52
2017-04-13 09:31:59,52.51,52.53
2017-04-13 09:32:00,52.51,52.53
2017-04-13 09:32:01,52.51,52.52
2017-04-13 09:32:02,52.51,52.52
2017-04-13 09:32:03,52.51,52.52
2017-04-13 09:32:04,52.51,52.52
2017-04-13 09:32:05,52.51,52.52
2017-04-13 09:32:06,52.51,52.52
2017-04-13 09:32:07,52.51,52.52
2017-04-13 09:32:08,52.51,52.52
2017-04-13 09:32:09,52.52,52.53
2017-04-13 09:32:10,52.52,52.53
2017-04-13 09:32:11,52.52,52.53
2017-04-13 09:32:12,52.51,52.52
2017-04-13 09:32:13,52.51,52.52
2017-04-13 09:32:14,52.51,52.52
2017-04-13 09:32:15,52.52,52.53
2017-04-13 09:32:16,52.52,52.53
2017-04-13 09:32:17,52.52,52.53
2017-04-13 09:32:18,52.52,52.53
2017-04-13 09:32:19,52.52,52.53
2017-04-13 09:32:20,52.52,52.53
2017-04-13 09:32:21,52.52,52.53
2017-04-13 09:32:22,52.52,52.53
2017-04-13 09:32:23,52.52,52.53
2017-04-13 09:32:24,52.52,52.53
2017-04-13 09:32:25,52.52,52.53
2017-04-13 09:32:26,52.53,52.54
2017-04-13 09:32:27,52.53,52.54
2017-04-13 09:32:28,52.53,52.54
2017-04-13 09:32:29,52.54,52.55
2017-04-13 09:32:30,52.53,52.54
2017-04-13 09:32:31,52.54,52.55
2017-04-13 09:32:32,52.55,52.56
2017-04-13 09:32:33,52.55,52.56
2017-04-13 09:32:34,52.54,52.55
2017-04-13 09:32:35,52.53,52.55
2017-04-13 09:32:36,52.53,52.54
2017-04-13 09:32:37,52.54,52.55
2017-04-13 09:32:38,52.54,52.55
2017-04-13 09:32:39,52.55,52.56
2017-04-13 09:32:40,52.55,52.56
2017-04-13 09:32:41,52.55,52.56
2017-04-13 09:32:42,52.55,52.56
2017-04-13 09:32:43,52.54,52.56
2017-04-13 09:32:44,52.54,52.56
2017-04-13 09:32:45,52.54,52.55
2017-04-13 09:32:46,52.54,52.55
2017-04-13 09:32:47,52.53,52.55
2017-04-13 09:32:48,52.53,52.55
2017-04-13 09:32:49,52.53,52.55
2017-04-13 09:32:50,52.54,52.55
2017-04-13 09:32:51,52.54,52.55
2017-04-13 09:32:52,52.53,52.54
2017-04-13 09:32:53,52.54,52.55
2017-04-13 09:32:54,52.53,52.55
2017-04-13 09:32:55,52.54,52.55
2017-04-13 09:32:56,52.54,52.55
2017-04-13 09:32:57,52.54,52.55
2017-04-13 09:32:58,52.54,52.55
2017-04-13 09:32:59,52.54,52.55
2017-04-13 09:33:00,52.54,52.55
2017-04-13 09:33:01,52.54,52.55
2017-04-13 09:33:02,52.54,52.55
2017-04-13 09:33:03,52.54,52.55
2017-04-13 09:33:04,52.54,52.55
2017-04-13 09:33:05,52.54,52.55
2017-04-13 09:33:06,52.54,52.55
2017-04-13 09:33:07,52.54,52.55
2017-04-13 09:33:08,52.54,52.55
2017-04-13 09:33:09,52.54,52.55
2017-04-13 09:33:10,52.53,52.54
2017-04-13 09:33:11,52.53,52.54
2017-04-13 09:33:12,52.53,52.54
2017-04-13 09:33:13,52.53,52.54
2017-04-13 09:33:14,52.53,52.54
2017-04-13 09:33:15,52.53,52.54
2017-04-13 09:33:16,52.53,52.54
2017-04-13 09:33:17,52.53,52.54
2017-04-13 09:33:18,52.53,52.55
2017-04-13 09:33:19,52.54,52.55
2017-04-13 09:33:20,52.54,52.55
2017-04-13 09:33:21,52.54,52.55
2017-04-13 09:33:22,52.54,52.55
2017-04-13 09:33:23,52.54,52.55
