datetime,direct.bid,direct.ask
2015-01-02 15:00:00,109.07,109.08
2015-01-02 15:00:01,109.07,109.09
2015-01-02 15:00:02,109.08,109.09
2015-01-02 15:00:03,109.08,109.09
2015-01-02 15:00:04,109.05,109.06
2015-01-02 15:00:05,109.03,109.03
2015-01-02 15:00:06,109.04,109.04
2015-01-02 15:00:07,109.03,109.04
2015-01-02 15:00:08,109.05,109.06
2015-01-02 15:00:09,109.05,109.06
2015-01-02 15:00:10,109.05,109.06
2015-01-02 15:00:11,109.06,109.06
2015-01-02 15:00:12,109.05,109.06
2015-01-02 15:00:13,109.05,109.06
2015-01-02 15:00:14,109.04,109.05
2015-01-02 15:00:15,109.04,109.05
2015-01-02 15:00:16,109.04,109.05
2015-01-02 15:00:17,109.05,109.06
2015-01-02 15:00:18,109.05,109.06
2015-01-02 15:00:19,109.05,109.06
2015-01-02 15:00:20,109.05,109.06
2015-01-02 15:00:21,109.08,109.09
2015-01-02 15:00:22,109.08,109.09
2015-01-02 15:00:23,109.1,109.11
2015-01-02 15:00:24,109.11,109.12
2015-01-02 15:00:25,109.11,109.12
2015-01-02 15:00:26,109.12,109.13
2015-01-02 15:00:27,109.12,109.13
2015-01-02 15:00:28,109.12,109.13
2015-01-02 15:00:29,109.1,109.11
2015-01-02 15:00:30,109.1,109.12
2015-01-02 15:00:31,109.11,109.12
2015-01-02 15:00:32,109.12,109.13
2015-01-02 15:00:33,109.12,109.13
2015-01-02 15:00:34,109.12,109.13
2015-01-02 15:00:35,109.11,109.12
2015-01-02 15:00:36,109.11,109.12
2015-01-02 15:00:37,109.14,109.15
2015-01-02 15:00:38,109.13,109.14
2015-01-02 15:00:39,109.13,109.14
2015-01-02 15:00:40,109.14,109.15
2015-01-02 15:00:41,109.14,109.15
2015-01-02 15:00:42,109.14,109.15
2015-01-02 15:00:43,109.14,109.15
2015-01-02 15:00:44,109.14,109.15
2015-01-02 15:00:45,109.14,109.15
2015-01-02 15:00:46,109.14,109.15
2015-01-02 15:00:47,109.14,109.15
2015-01-02 15:00:48,109.14,109.15
2015-01-02 15:00:49,109.14,109.15
2015-01-02 15:00:50,109.14,109.15
2015-01-02 15:00:51,109.14,109.15
2015-01-02 15:00:52,109.14,109.15
2015-01-02 15:00:53,109.14,109.15
2015-01-02 15:00:54,109.14,109.16
2015-01-02 15:00:55,109.14,109.16
2015-01-02 15:00:56,109.15,109.17
2015-01-02 15:00:57,109.15,109.17
2015-01-02 15:00:58,109.16,109.17
2015-01-02 15:00:59,109.14,109.15
2015-01-02 15:01:00,109.14,109.15
2015-01-02 15:01:01,109.1,109.11
2015-01-02 15:01:02,109.1,109.11
2015-01-02 15:01:03,109.1,109.11
2015-01-02 15:01:04,109.1,109.11
2015-01-02 15:01:05,109.09,109.1
2015-01-02 15:01:06,109.1,109.1
2015-01-02 15:01:07,109.08,109.09
2015-01-02 15:01:08,109.09,109.1
2015-01-02 15:01:09,109.1,109.11
2015-01-02 15:01:10,109.09,109.11
2015-01-02 15:01:11,109.09,109.11
2015-01-02 15:01:12,109.08,109.09
2015-01-02 15:01:13,109.08,109.09
2015-01-02 15:01:14,109.08,109.09
2015-01-02 15:01:15,109.08,109.09
2015-01-02 15:01:16,109.06,109.07
2015-01-02 15:01:17,109.04,109.05
2015-01-02 15:01:18,109.04,109.05
2015-01-02 15:01:19,109.05,109.06
2015-01-02 15:01:20,109.05,109.06
2015-01-02 15:01:21,109.04,109.05
2015-01-02 15:01:22,109.04,109.05
2015-01-02 15:01:23,109.04,109.05
2015-01-02 15:01:24,109.04,109.05
2015-01-02 15:01:25,109.03,109.04
2015-01-02 15:01:26,109.03,109.04
2015-01-02 15:01:27,109.05,109.06
2015-01-02 15:01:28,109.05,109.06
2015-01-02 15:01:29,109.05,109.06
2015-01-02 15:01:30,109.05,109.06
2015-01-02 15:01:31,109.05,109.06
2015-01-02 15:01:32,109.05,109.06
2015-01-02 15:01:33,109.05,109.06
2015-01-02 15:01:34,109.05,109.06
2015-01-02 15:01:35,109.06,109.07
2015-01-02 15:01:36,109.06,109.08
2015-01-02 15:01:37,109.08,109.09
2015-01-02 15:01:38,109.07,109.08
2015-01-02 15:01:39,109.07,109.08
2015-01-02 15:01:40,109.08,109.09
2015-01-02 15:01:41,109.08,109.09
2015-01-02 15:01:42,109.09,109.1
2015-01-02 15:01:43,109.09,109.1
2015-01-02 15:01:44,109.08,109.09
2015-01-02 15:01:45,109.08,109.09
2015-01-02 15:01:46,109.06,109.07
2015-01-02 15:01:47,109.06,109.07
2015-01-02 15:01:48,109.06,109.07
2015-01-02 15:01:49,109.06,109.07
2015-01-02 15:01:50,109.06,109.07
2015-01-02 15:01:51,109.04,109.05
2015-01-02 15:01:52,109.03,109.04
2015-01-02 15:01:53,109.03,109.04
2015-01-02 15:01:54,109.03,109.04
2015-01-02 15:01:55,109.03,109.04
2015-01-02 15:01:56,109.01,109.03
2015-01-02 15:01:57,109.03,109.04
2015-01-02 15:01:58,109.07,109.08
2015-01-02 15:01:59,109.07,109.08
2015-01-02 15:02:00,109.06,109.07
2015-01-02 15:02:01,109.05,109.06
2015-01-02 15:02:02,109.05,109.06
2015-01-02 15:02:03,109.06,109.07
2015-01-02 15:02:04,109.07,109.08
2015-01-02 15:02:05,109.07,109.08
2015-01-02 15:02:06,109.07,109.08
2015-01-02 15:02:07,109.06,109.07
2015-01-02 15:02:08,109.06,109.07
2015-01-02 15:02:09,109.06,109.07
2015-01-02 15:02:10,109.06,109.07
2015-01-02 15:02:11,109.05,109.06
2015-01-02 15:02:12,109.05,109.06
2015-01-02 15:02:13,109.05,109.06
2015-01-02 15:02:14,109.05,109.06
2015-01-02 15:02:15,109.05,109.06
2015-01-02 15:02:16,109.04,109.05
2015-01-02 15:02:17,109.05,109.06
2015-01-02 15:02:18,109.05,109.06
2015-01-02 15:02:19,109.04,109.05
2015-01-02 15:02:20,109.04,109.05
2015-01-02 15:02:21,109.04,109.05
2015-01-02 15:02:22,109.04,109.05
2015-01-02 15:02:23,109.04,109.05
2015-01-02 15:02:24,109.04,109.05
2015-01-02 15:02:25,109.04,109.05
2015-01-02 15:02:26,109.05,109.05
2015-01-02 15:02:27,109.05,109.05
2015-01-02 15:02:28,109.05,109.06
2015-01-02 15:02:29,109.05,109.06
2015-01-02 15:02:30,109.05,109.06
2015-01-02 15:02:31,109.05,109.06
2015-01-02 15:02:32,109.07,109.08
2015-01-02 15:02:33,109.07,109.08
2015-01-02 15:02:34,109.07,109.08
2015-01-02 15:02:35,109.07,109.08
2015-01-02 15:02:36,109.07,109.08
2015-01-02 15:02:37,109.07,109.08
2015-01-02 15:02:38,109.07,109.08
2015-01-02 15:02:39,109.07,109.08
2015-01-02 15:02:40,109.07,109.08
2015-01-02 15:02:41,109.07,109.08
2015-01-02 15:02:42,109.07,109.08
2015-01-02 15:02:43,109.07,109.08
2015-01-02 15:02:44,109.07,109.08
2015-01-02 15:02:45,109.07,109.08
2015-01-02 15:02:46,109.07,109.08
2015-01-02 15:02:47,109.07,109.08
2015-01-02 15:02:48,109.07,109.08
2015-01-02 15:02:49,109.07,109.08
2015-01-02 15:02:50,109.07,109.08
2015-01-02 15:02:51,109.07,109.08
2015-01-02 15:02:52,109.07,109.08
2015-01-02 15:02:53,109.06,109.07
2015-01-02 15:02:54,109.05,109.06
2015-01-02 15:02:55,109.05,109.06
2015-01-02 15:02:56,109.05,109.06
2015-01-02 15:02:57,109.05,109.06
2015-01-02 15:02:58,109.05,109.06
2015-01-02 15:02:59,109.05,109.06
2015-01-02 15:03:00,109.05,109.06
2015-01-02 15:03:01,109.05,109.06
